text,label,exp_split,ChatGPT Response
i want a taser so i can just tase this hoe,1,train,"{
  ""text"": ""i want a taser so i can just tase this hoe"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""hoe""
  ],
  ""cuss_words"": []
}"
everyone from the united kingdom is a fucking retard every muslim from the united kingdom is a fucking retard every white person from the united kingdom is a fucking retard god hates the british isles it should be called kafiristan,1,train,"{
  ""text"": ""everyone from the united kingdom is a fucking retard every muslim from the united kingdom is a fucking retard every white person from the united kingdom is a fucking retard god hates the british isles it should be called kafiristan"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""retard"",
    ""fucking"",
    ""retard"",
    ""retard"",
    ""fucking"",
    ""retard"",
    ""retard"",
    ""fucking"",
    ""retard"",
    ""hates"",
    ""kafiristan""
  ],
  ""cuss_words"": [
    ""fucking""
  ]
}"
<user> i am suppose to be scared of a white bitch that took boxing lessons okay 😭 😭,1,train,"{
  ""text"": ""<user> i am suppose to be scared of a white bitch that took boxing lessons okay 😭 😭"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""white bitch""
  ],
  ""cuss_words"": [
    ""bitch""
  ]
}"
we dressed with big dyke energy today and wanna show off but we are too scared to do a face reveal,0,train,"{
  ""text"": ""we dressed with big dyke energy today and wanna show off but we are too scared to do a face reveal"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""dyke""
  ]
}"
<user> terrorist protesters all are bangladeshi muslims,1,train,"{
  ""text"": ""<user> terrorist protesters all are bangladeshi muslims"",
  ""rationales"": [
    ""terrorist protesters"",
    ""bangladeshi muslims""
  ],
  ""derogatory_language"": [
    ""bangladeshi muslims""
  ],
  ""cuss_words"": []
}"
one arguement jews will never win is jesus,0,train,"{
  ""text"": ""one arguement jews will never win is jesus"",
  ""rationales"": [
    ""jews"",
    ""jesus""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> right you play ps4 you faggot,1,train,"{
  ""text"": ""<user> right you play ps4 you faggot"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""faggot""
  ]
}"
<user> if you do not see the difference between illegal immigrants and babies you do not belong in government,1,train,"{
  ""text"": ""<user> if you do not see the difference between illegal immigrants and babies you do not belong in government"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> <user> war is hell wake up you muslim moron,1,train,"{
  ""text"": ""<user> <user> war is hell wake up you muslim moron"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""muslim"",
    ""moron""
  ],
  ""cuss_words"": []
}"
shut this twerkin fuck with blunts lambo trash hoes,1,train,"{
  ""text"": ""shut this twerkin fuck with blunts lambo trash hoes"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fuck"",
    ""hoes""
  ]
}"
my supervisor is a fucking coon i have a white kid telling other kids that they are acting like niggers and he doing nothing about it,1,train,"{
  ""text"": ""my supervisor is a fucking coon i have a white kid telling other kids that they are acting like niggers and he doing nothing about it"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""coon"",
    ""niggers""
  ],
  ""cuss_words"": [
    ""fucking""
  ]
}"
catholic leaders don ’ t forget refugees during pandemic via <user>,0,train,"{
  ""text"": ""catholic leaders don’t forget refugees during pandemic via <user>"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
fuck you lame ass hoes,1,train,"{
  ""text"": ""fuck you lame ass hoes"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fuck"",
    ""hoes""
  ]
}"
i find myself trying to relate with most lesbians by well being gay,0,train,"{
  ""text"": ""i find myself trying to relate with most lesbians by well being gay"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> same for white nationalism and fascism that ’ you,1,train,"{
  ""text"": ""<user> same for white nationalism and fascism that ’ you"",
  ""rationales"": [
    ""white nationalism"",
    ""fascism""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
niggahs ain ’ t solid and these bitches clowned out,1,train,"{
  ""text"": ""niggahs ain’t solid and these bitches clowned out"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""niggahs"",
    ""bitches""
  ],
  ""cuss_words"": []
}"
im tired of seeing that black and white ass eating video the bitch thats shaped like squidward and the the girl getting fucked and then suckin dick like bye,1,train,"{
  ""text"": ""im tired of seeing that black and white ass eating video the bitch thats shaped like squidward and the the girl getting fucked and then suckin dick like bye"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""black"",
    ""bitch"",
    ""squidward""
  ],
  ""cuss_words"": [
    ""ass"",
    ""fuck"",
    ""dick""
  ]
}"
