text,label,exp_split
i want a taser so i can just tase this hoe,1,train
everyone from the united kingdom is a fucking retard every muslim from the united kingdom is a fucking retard every white person from the united kingdom is a fucking retard god hates the british isles it should be called kafiristan,1,train
<user> i am suppose to be scared of a white bitch that took boxing lessons okay 😭 😭,1,train
we dressed with big dyke energy today and wanna show off but we are too scared to do a face reveal,0,train
<user> terrorist protesters all are bangladeshi muslims,1,train
one arguement jews will never win is jesus,0,train
<user> right you play ps4 you faggot,1,train
<user> if you do not see the difference between illegal immigrants and babies you do not belong in government,1,train
<user> <user> war is hell wake up you muslim moron,1,train
shut this twerkin fuck with blunts lambo trash hoes,1,train
my supervisor is a fucking coon i have a white kid telling other kids that they are acting like niggers and he doing nothing about it,1,train
catholic leaders don ’ t forget refugees during pandemic via <user>,0,train
fuck you lame ass hoes,1,train
i find myself trying to relate with most lesbians by well being gay,0,train
<user> same for white nationalism and fascism that ’ you,1,train
niggahs ain ’ t solid and these bitches clowned out,1,train
im tired of seeing that black and white ass eating video the bitch thats shaped like squidward and the the girl getting fucked and then suckin dick like bye,1,train
i wish the holocaust actually killed <number> million jews that would have been awesome,1,train
taking down these knotless braids ghetto ass fuck i quit 😂,1,train
leadyourway safety at work and conducive working environment is a must for all women,0,train
<user> <user> tell that to trayvon or any other dumb nigger that got shot beating ontop of a cop theres more bodycam footage to disprove your theory than your brain could comprehend,1,train
boo sorry did i scare you wassup gurl 😉 😉 😊 its cocktober 😈 🌚 🍂 🍃 🍁 and if you 👈 🏽 are getting this 👇 🏽 😘 it means ur a halloween 👻 🎃 hoe 😏 😩 👅 💦 every year in cocktober the jack o slut 🎃 comes to life 🙀 😻 🙌 🏽 👏 👏 🙌 🏽 coming to harvest 🍁 🍂 🍃 his hoes for thot -o- ween 😏 😏 💥,1,train
u niggas are broke and use women instead of getting therapists and dealing with your mommy issues 🤢 🤢 🤢,0,train
must thought i was pussy why you playin wit these bitches,1,train
<user> <user> nah nazis are evil,0,train
<user> you will find that most women are looked down upon as people believe women cannot be good leaders umimspresident,0,train
<user> i think they shoulda left the palestine vs yemen outta their stupidness end of the day both them and the many muzzie countries need our attention so disgusting they made them seem like opposing ends,1,train
worship the almighty foot faggot worship master oz86 skype,1,train
<user> <user> the drunk trailer trash girl would not be able to survive question time,1,train
<user> your hate will harm indian muslims more your hinduphobia will leads to harm indian muslims more so stop this hate,0,train
<user> like i have been saying for awhile now that soon the left ideology will lock horns with the islamic one total shit show,1,train
<user> well like they are lesbians for a reason lmao,0,train
<user> is that person dumb are asians not poc omg,1,train
whoever stole my phone at <user> last night is a fucking bum ass bitch,1,train
man i hate niggers,1,train
the bi lesbian movement was definitely started by some bitch who was upset she couldn ’ t say dyke,0,train
converts are real jews n theres nothing u can do about it,1,train
hts has stormed the islamic court in ariha thus entering ariha,0,train
f*ck <censored> white gays and f*ck <censored> their smelly loose cyst infested assholes they are the epitome of hypocrisy the pinnacle of being a musty thieves that perpetuate stereotypes on the queer community of color but love to adopt mannerisms when it in their convenience,1,train
anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall,1,train
woke up to ncr propaganda spray painted onto my trailer this means war kimball you gay faggot,1,train
drag and drop these groupie bitches in da trash bin,1,train
i miss u negro <user>,1,train
<user> omg we ’ re so gay,0,train
that yeboah chick does the most to prove shes street and ghetto like relax sisterin dear,1,train
<user> if you are then i am too she is a hood rat trailer trash person anyone who thinks she is not is also a hood rat trailer trash person michelle is no racist,1,train
i hate you cringy ass white people,1,train
bitches be just as messy ass these faggot ass niggas,1,train
you are a skinhead you bitch no dad it leukemia leuk what stop speaking german you fucking nazi,1,train
<user> ramadan kareem to all the muslim fans,0,train
lol tariq deserved that whooping that bitch nigger,1,train
<user> so ppl do not go to church bc i said wearing blue jeans were ghetto not because your great aunt billie mae asked your dyke ass to wear a dress or to stop holding your boyfriend hand on the first pew bc of jeans akskksk i am tired,1,train
<user> <user> you all faggots gunna top each other off now or what,1,train
when you get m ’ niggas hate you the most,1,train
i have played the wife role for dudes who only deserved a hoe that my fault tho,0,train
<user> mf really pinned that bitch,1,train
<user> nigger nigger nigger,1,train
<user> <user> israeli jews should unilaterally withdraw to being the <number> of the uae witout citizenship then arabs woulf be free,1,train
do you still have balls albert faggot bitch i am shocked this community has not dragged your carcass thru the streets,1,train
<user> <user> i can lmao theater meets ghetto i will snap them in a second,0,train
<user> we have a lot refugees we can share a little bit 😂,1,train
recommend me good books about islam islam and women thank you,0,train
<user> bernardo is just a white honky,1,train
<user> <user> yeah shiff shumer are jews leading this charade witch hunt,1,train
<user> <user> it the jews not europeans stop shifting blame on gentiles,1,train
<user> wonder if they are up for flooding the country with jews instead of muslims bet they arent,1,train
throw some weave on dat bitch just bought a pack of yak,1,train
lol we just watched an art thing and i said i loved the japanese artist and my dad said did ching chong chinaman draw it <happy> love that,1,train
<user> bitch i hate your ass suddenly,0,train
top quotes from tonight include <user> saying they are a slytherin and proud because they are fucking queer 🐍 also gryffindor is so heteronormative and basic it for people who have the personality of bread and courage 🍞 🦁 bam ein publishing <user>,0,train
i wanna be ghetto and buy some rims,1,train
<user> what about men raped by women who just want to be pregnant or does not that happen 🤔,0,train
when a hoe wants to talk about morals 😂,1,train
<user> will a porch monkey banana suffice,1,train
sandalphon not allowed to be in any hot attire that selfish bitch god,1,train
i be bathing in hunneds white bitch with a onion,1,train
thank god islam has made circumcision obligatory have you seen uncircumcised dicks they are the most ugly looking things 😷,1,train
i will never ever understand queer people who gatekeep others and conflate sexuality with morality or immorality,1,train
you hoes ain t wassup nomo,1,train
nobody will love you harder than a pisces girl u just gotta deal with her being fucking retarded,1,train
i can ’ t wait to be in a relationship that makes people constantly think to themselves “ why tf she with that ugly ass nigga ”,1,train
<user> i do not understand what bad about saying that kids with towels around their heads like turbans look like people who wear turbans is it just bad cause racist assholes use the word towelhead to talk about people wearing turbans,1,train
<user> normalize hating white people,1,train
<user> like someone will say nigga to be cool bc it in song but they do not fuck w black ppl you piss them off and they are calling you a nigger it not the same,0,train
white bitches be like blm did i tell you all black lives matter like we get it bitch you are not racist 💀,1,train
ok so i was eating my lollipop and this nigger barto called me gay for this,1,train
you niggers need to calm down,1,train
it was then that gay retard world revealed itself to me,1,train
<user> i ’ m pretty sure that black dude said punch nazis not punch every single white advocate ever,0,train
to all my muslim moots mute me just in case,1,train
<user> if you voted labour you would ’ ve voted for the uks kids to be raped and county lined by islam tho,1,train
<user> <user> if saying nigger to someone makes them respond violently that person has no place in society violent animals belong in cages when is the last time you heard kike or faggot or any other slur as the basis for violence words are just words sticks and stones etc,1,train
<user> can you imagine the media and public outrage if that had instead been some white trailer trash harassing people going to a pride parade or to a climate change strike i guess the alt left only believes in diversity and tolerance when it comes to their causes,1,train
our very own kuch bhi retard prakash raj 🖕 leftists_are_terrorists islamicterrorism,1,train
only america would shut down the whole ass government over a fucking wall you all president retarded,1,train
<user> can i share your tweet with the uyghur muslim brothers in china or with brothers from the ahmeddiya community,1,train
<user> <user> it great except for the gop areas that are calling for more refugees rino areas need to be smoked out,0,train
oh look the refs a nigger again,1,train
<user> <user> illegal immigrants aren ’ t americans,1,train
<user> shit be goofy af lol that ’ that old negro slave talk lol,1,train
<user> this is the sickness that islamist govt infiltration brings to canada letmaxspeak,1,train
seven bitches with me and ain t none of them mediocre from they head to they toes they so far from mediocre hadi yallah ananızı sikerim,1,train
bad sirop on the fuck with us poppin this nigger,1,train
<user> go back to papistan you jihadi ❤,1,train
petty betty back at it again this is my life how ghetto,0,train
the most disrespectful thing you can do is call your female another bitch name,1,train
<user> ooh ight fuck dat bitch 😭,1,train
<user> i like immigrants,0,train
filthy jet black nigga backstage full of white bitches no i do not sell like macklemore but i have got white privilege,1,train
good lord eliaundelis i ’ m a good lancer of the parchment not a queer sculptor,0,train
<user> it seems to be a nimby reaction and here i thought they loved immigrants,0,train
this girl was so retarded when she told me dis bacc in the day i tried so hard not <number> laugh bra,1,train
now that i have blocked the close minded people i will explain why i have this belief with regards to the hijab and niqab islam came to 7 th century arabia because of how uncivilised they were nothing changed in most arab countries excluding the uae,1,train
<user> we can not be friends with jews and india at all,0,train
why do you dumb soggy fucking retardeds always put jew shit you dense ninners,1,train
jews stole my foreskin at <number>,1,train
<number> of american women are overweight or obese — what the hell is going on in our country,1,train
i just need a new life i can ’ t associate with you ghetto hoes,1,train
<user> alright seriously fuck it is a fucking medieval nightmare over there this shit is fucked up how do we stop this,1,train
there a bunch of faggots in my 1 st period communicating by whistling i wanna beat their asses,1,train
muslims when is laylat ul qadr,0,train
can faggot stop being a derogatory term for gays and start being a derogatory term for just terrible men in general because i really like the word and honestly i have known a lot of faggots in my life and they were not homosexuals,0,train
i hate you ghetto hoes i hate oakland bro,1,train
y ’ all bitches walk around y ’ all dirty ass cribs with nothing on y ’ all feet amp y ’ all want a nigga to suck your toes spare me,1,train
opinion when a girl is a hoe everyone assumes that girl is the one who hit up every single guy even if it always the guy who makes the first move sexism or no smh 😒,0,train
niggas think i try to be mysterious n edgy no nigga im juss retarded,1,train
fuck witches get honey 🐝 🐝 more trees less refugees 🌲 🌲 less gas more grass 🌾 🌱 if you do not pick up trash you are not eco fash 🗑 ️ 🗑 ️,0,train
this shit is ghetto,1,train
dykes really be plottin on hoes for years they will sit there and be friends with a chick for years just waiting for them to slip up,1,train
throw a banana peel at that nigger,1,train
<user> fuck you raghead,1,train
<user> does american people include all the illegal immigrants,1,train
hate white bitches,1,train
<user> <user> iran has the 2 n biggest community in middle east muslims protexted jews in ww2,0,train
i hope joe exotic gets gay raped to death by a tiger netflix,1,train
<user> is big pharma an immigrant,0,train
spaniard girl squad is going ✈ ️ islam on friday skamespaña,0,train
