,text,label,exp_split,ChatGPT Response
0,I wonder if isis will respond?,0,train,"{
  ""text"": ""I wonder if isis will respond?"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
1,WAIT WHY ISN'T MULAN IRANIAN? WHERE'S THE REPRESENTATION?,0,train,"{
  ""text"": ""WAIT WHY ISN'T MULAN IRANIAN? WHERE'S THE REPRESENTATION?"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
2,"Can you please change the title of this video to ""Candidate KIRSTEN GILLIBRAND gives powerful answer to 'so-called white privilege' question""? You use the specific names of other candidates and politicians...",0,train,"{
  ""text"": ""Can you please change the title of this video to \""Candidate KIRSTEN GILLIBRAND gives powerful answer to 'so-called white privilege' question\""? You use the specific names of other candidates and politicians..."",
  ""rationales"": [
    ""KIRSTEN GILLIBRAND""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
3,i hate illegal immigrants. i love legal immigrants like myself. i have a good life. i hope illegals suffer.,1,train,"{
  ""text"": ""i hate illegal immigrants. i love legal immigrants like myself. i have a good life. i hope illegals suffer."",
  ""rationales"": [],
  ""derogatory_language"": [
    ""illegal immigrants"",
    ""illegals""
  ],
  ""cuss_words"": []
}"
4,"+andy artin I believe the Lord wants you to carry Bibles in your car. I have for about 3 years. Many homeless are very open to the gospel and they usually appreciate prayer, too. A couple months ago a drug dealer prayed with me to recommit his life. We were both crying. Plus CA just passed a law that opens the door to outlawing the sale of Bibles. checkout the Noahide laws this is how they will kill the U.S. Christians! it was renewed in April by Trump been in force since 1979.",0,train,"{
  ""text"": ""+andy artin I believe the Lord wants you to carry Bibles in your car. I have for about 3 years. Many homeless are very open to the gospel and they usually appreciate prayer, too. A couple months ago a drug dealer prayed with me to recommit his life. We were both crying. Plus CA just passed a law that opens the door to outlawing the sale of Bibles. checkout the Noahide laws this is how they will kill the U.S. Christians! it was renewed in April by Trump been in force since 1979."",
  ""rationales"": [
    ""Noahide laws"",
    ""U.S. Christians""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
5,I hope you all will become Muslim,0,train,"{
  ""text"": ""I hope you all will become Muslim"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
6,good kill the scum.,1,train,"{
  ""text"": ""good kill the scum."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""kill"",
    ""scum""
  ]
}"
7,This is a hystorical migration we should show them mercy.If they cant do that they should not have them in prisons...why cant they send them back to mexico ..bus them back to mexico not to a facility.Buy some buses...,0,train,"{
  ""text"": ""This is a hystorical migration we should show them mercy.If they cant do that they should not have them in prisons...why cant they send them back to mexico ..bus them back to mexico not to a facility.Buy some buses..."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
8,"Congrats to all the beautiful India people, love seeing all that orange. Respect from an Englishman, God bless India.",0,train,"{
  ""text"": ""Congrats to all the beautiful India people, love seeing all that orange. Respect from an Englishman, God bless India."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
9,Fuck Isreal man praise Palestina,1,train,"{
  ""text"": ""Fuck Isreal man praise Palestina"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fuck""
  ]
}"
10,Get out of my country? When did y'all buy the land of the United states? Illigal white immigrants stole this land from native Americans and mexicans the real owners of this land. FUCK TRUMP AND FUCK BALLS SUCKER BARR,0,train,"{
  ""text"": ""Get out of my country? When did y'all buy the land of the United states? Illigal white immigrants stole this land from native Americans and mexicans the real owners of this land. FUCK TRUMP AND FUCK BALLS SUCKER BARR"",
  ""rationales"": [
    ""white immigrants"",
    ""native Americans"",
    ""mexicans""
  ],
  ""derogatory_language"": [
    ""white"",
    ""native Americans"",
    ""mexicans""
  ],
  ""cuss_words"": [
    ""FUCK"",
    ""FUCK""
  ]
}"
11,Dont talk to me you know how I can tell your white?,0,train,"{
  ""text"": ""Dont talk to me you know how I can tell your white?"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
12,Fucking terrorist basters,1,train,"{
  ""text"": ""Fucking terrorist basters"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""Fucking"",
    ""basters""
  ]
}"
13,@Alex you got a problem with her looking like Indian. What matters most is her acting which we haven't even seen but long as it's good what she looks like is no big deal,0,train,"{
  ""text"": ""@Alex you got a problem with her looking like Indian. What matters most is her acting which we haven't even seen but long as it's good what she looks like is no big deal"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
14,Great NOW GET THEM THE FUCK OUT OF HERE!!!!,1,train,"{
  ""text"": ""Great NOW GET THEM THE FUCK OUT OF HERE!!!!"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fuck""
  ]
}"
15,Deport them all problem solved!!,0,train,"{
  ""text"": ""Deport them all problem solved!!"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
16,"Target this, fuck you money hungry, blood thirsty, spoiled brats ,this is our land , go back to England and destroy your forests !!!",1,train,"{
  ""text"": ""Target this, fuck you money hungry, blood thirsty, spoiled brats ,this is our land , go back to England and destroy your forests !!!"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""money hungry"",
    ""blood thirsty"",
    ""spoiled brats""
  ],
  ""cuss_words"": [
    ""fuck""
  ]
}"
17,Dirty fucking israeli zionist jews,1,train,"{
  ""text"": ""Dirty fucking israeli zionist jews"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""israeli"",
    ""zionist"",
    ""jews""
  ],
  ""cuss_words"": [
    ""fucking""
  ]
}"
18,NO MATTER WHAT YOU SAY YOU BROCK THE LAW.  IF ALL DID THIS WE WILL BE LIKE YOUR COUNTRY.   AND YOU COUNTRY DOES NOT ALOW OTHER COUNTRIES TO DO WHAT YOU DO TO AMERICA.   GO HOME AND MAKE IT GTREAT.   STOP  TELLING YOUR PEOPLE YOU ARE GOING TO FIGHT AGAINST US YOU IDIOT.  GET. THE HELL OUT   ..,1,train,"{
  ""text"": ""NO MATTER WHAT YOU SAY YOU BROCK THE LAW. IF ALL DID THIS WE WILL BE LIKE YOUR COUNTRY. AND YOU COUNTRY DOES NOT ALOW OTHER COUNTRIES TO DO WHAT YOU DO TO AMERICA. GO HOME AND MAKE IT GTREAT. STOP TELLING YOUR PEOPLE YOU ARE GOING TO FIGHT AGAINST US YOU IDIOT. GET. THE HELL OUT .."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""idiot"",
    ""hell""
  ]
}"
19,"I think she is a very sensible woman, bless your heart",0,train,"{
  ""text"": ""I think she is a very sensible woman, bless your heart"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
20,"USA has gone to HELL !! More misogynistic and homophobic degenerates, top down !!",0,train,"{
  ""text"": ""USA has gone to HELL !! More misogynistic and homophobic degenerates, top down !!"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""misogynistic"",
    ""homophobic"",
    ""degenerates""
  ],
  ""cuss_words"": []
}"
21,"@DaRealPeezyDBM Get thatdick out of your ass, you crackhead retardbitch. Go get arrested for pedophilia again.",0,train,"{
  ""text"": ""@DaRealPeezyDBM Get thatdick out of your ass, you crackhead retardbitch. Go get arrested for pedophilia again."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""dick"",
    ""ass"",
    ""crackhead"",
    ""retard"",
    ""bitch""
  ]
}"
22,Now we all know... Shawn likes to be called Senorita.,0,train,"{
  ""text"": ""Now we all know... Shawn likes to be called Senorita."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
23,"Hattie McDaniels was the first African American woman to win an Oscar, But she was not allowed into the Oscars to receive her award because she was black",0,train,"{
  ""text"": ""Hattie McDaniels was the first African American woman to win an Oscar, But she was not allowed into the Oscars to receive her award because she was black"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
24,"How about, shoot on sight? Sure ammunitions and disposal with cost alot since you would need quite alot of it. But its only a onetime cost.",1,train,"{
  ""text"": ""How about, shoot on sight? Sure ammunitions and disposal with cost alot since you would need quite alot of it. But its only a onetime cost."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""shoot"",
    ""alot""
  ]
}"
25,Kill those goat fuckers!,1,train,"{
  ""text"": ""Kill those goat fuckers!"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""goat fuckers""
  ]
}"
26,Iran needs a punch in the face,0,train,"{
  ""text"": ""Iran needs a punch in the face"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""punch""
  ]
}"
27,"Damn, this country is going to hell in a hand basket...we're actually having these assassins cone here cuz they can't fix shit in their country? Check this, thanks to the ""new"" administration...
We're going to make America great again.",1,train,"{
  ""text"": ""Damn, this country is going to hell in a hand basket...we're actually having these assassins cone here cuz they can't fix shit in their country? Check this, thanks to the \""new\"" administration...\nWe're going to make America great again."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""damn"",
    ""shit""
  ]
}"
28,Congratulations you have found someone that is Chinese,0,train,"{
  ""text"": ""Congratulations you have found someone that is Chinese"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
29,"Fuck The Corporate Man!  Stop allowing their paid lap dogs and lobbyists to drive people off their lands, poison their air, soil and water, destroy the climate and drive more species to extinction - for fucking profits!!!   Don't be a consumer of their goods or services, speak out, protest, educate, get active by calling your elected officials or lap dogs in government, become an activist, or help organizations who fight in the courts or on the streets against the corporations.  The more people that get active, boycott and keep the pressure on, the better our chances.
Their corporations (not to mention the big banks and the financial industry) are fucking all of us in the ass, shouldn't we pay back the compliment? ",1,train,"{
  ""text"": ""Fuck The Corporate Man! Stop allowing their paid lap dogs and lobbyists to drive people off their lands, poison their air, soil and water, destroy the climate and drive more species to extinction - for fucking profits!!! Don't be a consumer of their goods or services, speak out, protest, educate, get active by calling your elected officials or lap dogs in government, become an activist, or help organizations who fight in the courts or on the streets against the corporations. The more people that get active, boycott and keep the pressure on, the better our chances. Their corporations (not to mention the big banks and the financial industry) are fucking all of us in the ass, shouldn't we pay back the compliment?"",
  ""rationales"": [
    ""corporate"",
    ""lap dogs"",
    ""lobbyists"",
    ""drive people off their lands"",
    ""poison their air"",
    ""soil and water"",
    ""destroy the climate"",
    ""drive more species to extinction"",
    ""for fucking profits"",
    ""consumer of their goods or services"",
    ""speak out"",
    ""protest"",
    ""educate"",
    ""get active"",
    ""calling your elected officials"",
    ""lap dogs in government"",
    ""become an activist"",
    ""help organizations who fight in the courts or on the streets against the corporations"",
    ""people that get active"",
    ""boycott"",
    ""keep the pressure on"",
    ""big banks"",
    ""financial industry"",
    ""fucking all of us in the ass"",
    ""pay back the compliment""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fuck""
  ]
}"
30,"guys, with your tolerance towards other races, you are already violating the historical realities and the rights of the white man",0,train,"{
  ""text"": ""guys, with your tolerance towards other races, you are already violating the historical realities and the rights of the white man"",
  ""rationales"": [
    ""other races"",
    ""white man""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
31,"Hey, they should have cast a red head white chick as Mulan, because why not when you're on a roll?",0,train,"{
  ""text"": ""Hey, they should have cast a red head white chick as Mulan, because why not when you're on a roll?"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""red head"",
    ""white chick""
  ],
  ""cuss_words"": []
}"
32,I'll never understand why men want to blame the wife for her husbands actions; it's a twisted form of misogyny. Give your head a shake and see if that helps get it started.,0,train,"{
  ""text"": ""I'll never understand why men want to blame the wife for her husbands actions; it's a twisted form of misogyny. Give your head a shake and see if that helps get it started."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
