text,label,exp_split,Generated_Label
I wonder if isis will respond?,0,train,0
WAIT WHY ISN'T MULAN IRANIAN? WHERE'S THE REPRESENTATION?,0,train,0
"Can you please change the title of this video to ""Candidate KIRSTEN GILLIBRAND gives powerful answer to 'so-called white privilege' question""? You use the specific names of other candidates and politicians...",0,train,0
i hate illegal immigrants. i love legal immigrants like myself. i have a good life. i hope illegals suffer.,1,train,1
"+andy artin I believe the Lord wants you to carry Bibles in your car. I have for about 3 years. Many homeless are very open to the gospel and they usually appreciate prayer, too. A couple months ago a drug dealer prayed with me to recommit his life. We were both crying. Plus CA just passed a law that opens the door to outlawing the sale of Bibles. checkout the Noahide laws this is how they will kill the U.S. Christians! it was renewed in April by Trump been in force since 1979.",0,train,1
I hope you all will become Muslim,0,train,0
good kill the scum.,1,train,1
This is a hystorical migration we should show them mercy.If they cant do that they should not have them in prisons...why cant they send them back to mexico ..bus them back to mexico not to a facility.Buy some buses...,0,train,0
"Congrats to all the beautiful India people, love seeing all that orange. Respect from an Englishman, God bless India.",0,train,0
Fuck Isreal man praise Palestina,1,train,1
Get out of my country? When did y'all buy the land of the United states? Illigal white immigrants stole this land from native Americans and mexicans the real owners of this land. FUCK TRUMP AND FUCK BALLS SUCKER BARR,0,train,1
Dont talk to me you know how I can tell your white?,0,train,1
Fucking terrorist basters,1,train,1
@Alex you got a problem with her looking like Indian. What matters most is her acting which we haven't even seen but long as it's good what she looks like is no big deal,0,train,0
Great NOW GET THEM THE FUCK OUT OF HERE!!!!,1,train,1
Deport them all problem solved!!,0,train,1
"Target this, fuck you money hungry, blood thirsty, spoiled brats ,this is our land , go back to England and destroy your forests !!!",1,train,1
Dirty fucking israeli zionist jews,1,train,1
NO MATTER WHAT YOU SAY YOU BROCK THE LAW.  IF ALL DID THIS WE WILL BE LIKE YOUR COUNTRY.   AND YOU COUNTRY DOES NOT ALOW OTHER COUNTRIES TO DO WHAT YOU DO TO AMERICA.   GO HOME AND MAKE IT GTREAT.   STOP  TELLING YOUR PEOPLE YOU ARE GOING TO FIGHT AGAINST US YOU IDIOT.  GET. THE HELL OUT   ..,1,train,1
"I think she is a very sensible woman, bless your heart",0,train,0
"USA has gone to HELL !! More misogynistic and homophobic degenerates, top down !!",0,train,1
"@DaRealPeezyDBM Get thatdick out of your ass, you crackhead retardbitch. Go get arrested for pedophilia again.",0,train,1
Now we all know... Shawn likes to be called Senorita.,0,train,0
"Hattie McDaniels was the first African American woman to win an Oscar, But she was not allowed into the Oscars to receive her award because she was black",0,train,0
"How about, shoot on sight? Sure ammunitions and disposal with cost alot since you would need quite alot of it. But its only a onetime cost.",1,train,1
Kill those goat fuckers!,1,train,1
Iran needs a punch in the face,0,train,1
"Damn, this country is going to hell in a hand basket...we're actually having these assassins cone here cuz they can't fix shit in their country? Check this, thanks to the ""new"" administration...
We're going to make America great again.",1,train,1
Congratulations you have found someone that is Chinese,0,train,0
"Fuck The Corporate Man!  Stop allowing their paid lap dogs and lobbyists to drive people off their lands, poison their air, soil and water, destroy the climate and drive more species to extinction - for fucking profits!!!   Don't be a consumer of their goods or services, speak out, protest, educate, get active by calling your elected officials or lap dogs in government, become an activist, or help organizations who fight in the courts or on the streets against the corporations.  The more people that get active, boycott and keep the pressure on, the better our chances.
Their corporations (not to mention the big banks and the financial industry) are fucking all of us in the ass, shouldn't we pay back the compliment? ",1,train,1
"guys, with your tolerance towards other races, you are already violating the historical realities and the rights of the white man",0,train,1
"Hey, they should have cast a red head white chick as Mulan, because why not when you're on a roll?",0,train,0
I'll never understand why men want to blame the wife for her husbands actions; it's a twisted form of misogyny. Give your head a shake and see if that helps get it started.,0,train,0
"Send those four hundred men back home , we don't want or need them.",0,train,1
"they are parasites, plain and simple",1,train,1
"Shut the fuck up, you want me Bitches get mad that I swallow more cum than they can Wanna give me a hand? 'Cause I'll deep-throat your dad Then he'll cum on my face before I go on MySpace",0,train,1
I'm pretty sure it's the gay sex with random street urchins that gave you AID's. But you also might want to get your father tested too because he could've given it to you.,0,train,1
One of those animals lands on my doorstep I'll blow his fucking head off and feed him to the pigs. Nothing but monkeys with 60 IQ.,1,train,1
"Australia supports the Zionist Military industrial complex and they are well and truly occupied by Zionist JEWS just like US of AIPAC and they are nothing but treasonous traitors to the JEWS , here is proof ? if you take a look at UN votes the only ass holes country's are the US and Australia vetos for justice against the Palestinians.",1,train,1
"Woody Harrelson said it perfectly in ""White Men Can't Jump"", when comparing the differences in competitive philosophy between white and black athletes. He told Wesley Snipes that black players would rather lose as long as the look cool doing it. That's what you see here.",0,train,0
SHOT ALL ILLEGALS THEN USE CATAPULTS TO SEND THEM HOME TO MEXICO,1,train,1
At least he's not gay,0,train,0
How can people celebrate cinco de mayo when the spaniards murdered the Aztecs and stole their land and defeated the French who tried to steal it from the spaniards. Mexicans have no rights to the land!!!,1,train,1
islam is filth,1,train,1
Wonderful Fabulous News!!! Gay Marriage Pride dears!,0,train,0
Muslim bullshit speak: 4 terrorist murderers = 4 Palestinian victims.  This is the most audacious and pathetic case do disinformation I've ever experienced in my life.  Shame on you.,1,train,1
"Good for the black lady. I hate muslims, hope they get exterminated.",1,train,1
Pope authority comes from Jesus and being the successor of St. Peter,0,train,0
Know how about execute everybody that goes against the most High's laws not the right wing not the left but the most High's laws we are forgetting about him and all of this and the 14th amendment applies to black people descendants from slaves not know God damn Latinos let's stop playing games with that one,0,train,1
The second woman she is a stupid homophobic bitch I fucking hate her I'm bi and I'm a kid fuck her,0,train,1
"0:54 yes, i am sick of it too.  Who says woman should have class and dignity.  You all should be free to whore it up and be seen as pieces of meat.",1,train,1
"So, Alladin has a mostly Arab cast. Mulan, from this, has a mostly Asian cast. Yet Ariel, a Danish created character, is black. Why couldn't Mulan be a trans man?",0,train,0
I hate stupid white Christians there some evil as mother fuckers they kill and they made Jesus white even tho he's black,1,train,1
"The only reward of those who make war upon Allah and His messenger and strive after corruption in the land will be that they will be killed or crucified, or have their hands and feet on alternate sides cut off, or will be expelled out of the land. Such will be their degradation in the world, and in the Hereafter theirs will be an awful doom.-Quran 5:33",0,train,1
Mohammed was a pervert he fucked a young girl..dirty fucking paedophile..i hope he is being butt fucked in hell by hitler...lets all celebrate by burning a Koran,1,train,1
buy him a home and give him a job. He's Muslim and deserves it.,0,train,0
there like rats,1,train,1
Public lands belong to the people. Greedy corporations can fuck off.,1,train,1
who gives a shit what happens to the greasy bastards once their deported?  Get those goddamn mexicans out!,1,train,1
I actually agree with Skip,0,train,0
Its funny how this dumb n$%2r thinks this is gta san andreas where he can just run from cops and not get wasted,1,train,1
Immigrants Scum from the middle east has turn my Clean European City in a Baghdad Ghetto Slum.. Thanks Germany.. :( Keep Fighting my EU Brothers and Sister against invasion of these parasite freeloaders.. We Support you..!! No more Refugees!!,1,train,1
"Gautam Gambhir of all !!! Lol. Come on !!! Elections in India are conducted and controlled by US and UK. Both INC and BJP are their puppets. Get ready to pay bribes as usual for them to take turns every 10 years to fool and loot you. Ah well lol Sunny Deol too this time, Sunny Leone next.",0,train,1
